last_name,first_name,full_name,birthday,gender,type,state,district,party,url
Gibbs,Bob,Bob Gibbs,6/14/1954,M,rep,OH,7,Republican,https://gibbs.house.gov
Gohmert,Louie,Louie Gohmert,8/18/1953,M,rep,TX,1,Republican,https://gohmert.house.gov
Gosar,Paul,Paul A. Gosar,11/22/1958,M,rep,AZ,4,Republican,https://gosar.house.gov
Granger,Kay,Kay Granger,1/18/1943,F,rep,TX,12,Republican,https://kaygranger.house.gov
Grassley,Charles,Chuck Grassley,9/17/1933,M,sen,IA,Republican,https://www.grassley.senate.gov
Graves,Sam,Sam Graves,11/7/1963,M,rep,MO,6,Republican,https://graves.house.gov
Green,Al,Al Green,9/1/1947,M,rep,TX,9,Democrat,https://algreen.house.gov
Griffith,H.,H. Morgan Griffith,3/15/1958,M,rep,VA,9,Republican,https://morgangriffith.house.gov
Grijalva,Raúl,Raúl M. Grijalva,2/19/1948,M,rep,AZ,3,Democrat,https://grijalva.house.gov
Guthrie,Brett,Brett Guthrie,2/18/1964,M,rep,KY,2,Republican,https://guthrie.house.gov
Harris,Andy,Andy Harris,1/25/1957,M,rep,MD,1,Republican,https://harris.house.gov
Hartzler,Vicky,Vicky Hartzler,10/13/1960,F,rep,MO,4,Republican,https://hartzler.house.gov
Hastings,Alcee,Alcee L. Hastings,9/5/1936,M,rep,FL,20,Democrat,https://alceehastings.house.gov
Heinrich,Martin,Martin Heinrich,10/17/1971,M,sen,NM,Democrat,https://www.heinrich.senate.gov
Herrera Beutler,Jaime,Jaime Herrera Beutler,11/3/1978,F,rep,WA,3,Republican,https://herrerabeutler.house.gov
Higgins,Brian,Brian Higgins,10/6/1959,M,rep,NY,26,Democrat,https://higgins.house.gov
Himes,James,James A. Himes,7/5/1966,M,rep,CT,4,Democrat,https://himes.house.gov
Hirono,Mazie,Mazie K. Hirono,11/3/1947,F,sen,HI,Democrat,https://www.hirono.senate.gov
Hoeven,John,John Hoeven,3/13/1957,M,sen,ND,Republican,https://www.hoeven.senate.gov
Hoyer,Steny,Steny H. Hoyer,6/14/1939,M,rep,MD,5,Democrat,https://hoyer.house.gov
Huizenga,Bill,Bill Huizenga,1/31/1969,M,rep,MI,2,Republican,https://huizenga.house.gov
Jackson Lee,Sheila,Sheila Jackson Lee,1/12/1950,F,rep,TX,18,Democrat,https://jacksonlee.house.gov
Johnson,Bill,Bill Johnson,11/10/1954,M,rep,OH,6,Republican,https://billjohnson.house.gov
Johnson,Eddie,Eddie Bernice Johnson,12/3/1935,F,rep,TX,30,Democrat,https://ebjohnson.house.gov
Johnson,Henry,"Henry C. ""Hank"" Johnson",10/2/1954,M,rep,GA,4,Democrat,https://hankjohnson.house.gov
Johnson,Ron,Ron Johnson,4/8/1955,M,sen,WI,Republican,https://www.ronjohnson.senate.gov
Jordan,Jim,Jim Jordan,2/17/1964,M,rep,OH,4,Republican,https://jordan.house.gov
Kaptur,Marcy,Marcy Kaptur,6/17/1946,F,rep,OH,9,Democrat,https://kaptur.house.gov
Keating,William,William R. Keating,9/6/1952,M,rep,MA,9,Democrat,https://keating.house.gov
Kelly,Mike,Mike Kelly,5/10/1948,M,rep,PA,16,Republican,https://kelly.house.gov
Kind,Ron,Ron Kind,3/16/1963,M,rep,WI,3,Democrat,https://kind.house.gov
King,Peter,Peter T. King,4/5/1944,M,rep,NY,2,Republican,https://peteking.house.gov
King,Steve,Steve King,5/28/1949,M,rep,IA,4,Republican,https://steveking.house.gov
Kinzinger,Adam,Adam Kinzinger,2/27/1978,M,rep,IL,16,Republican,https://kinzinger.house.gov
Lamborn,Doug,Doug Lamborn,5/24/1954,M,rep,CO,5,Republican,https://lamborn.house.gov
Langevin,James,James R. Langevin,4/22/1964,M,rep,RI,2,Democrat,https://langevin.house.gov
Lankford,James,James Lankford,3/4/1968,M,sen,OK,Republican,https://www.lankford.senate.gov
Larsen,Rick,Rick Larsen,6/15/1965,M,rep,WA,2,Democrat,https://larsen.house.gov
Larson,John,John B. Larson,7/22/1948,M,rep,CT,1,Democrat,https://larson.house.gov
Latta,Robert,Robert E. Latta,4/18/1956,M,rep,OH,5,Republican,https://latta.house.gov
Leahy,Patrick,Patrick J. Leahy,3/31/1940,M,sen,VT,Democrat,https://www.leahy.senate.gov
Lee,Barbara,Barbara Lee,7/16/1946,F,rep,CA,13,Democrat,https://lee.house.gov
Lee,Mike,Mike Lee,6/4/1971,M,sen,UT,Republican,https://www.lee.senate.gov/public
Lipinski,Daniel,Daniel Lipinski,7/15/1966,M,rep,IL,3,Democrat,https://lipinski.house.gov
Loebsack,David,David Loebsack,12/23/1952,M,rep,IA,2,Democrat,https://loebsack.house.gov
Lofgren,Zoe,Zoe Lofgren,12/21/1947,F,rep,CA,19,Democrat,https://lofgren.house.gov
Long,Billy,Billy Long,8/11/1955,M,rep,MO,7,Republican,https://long.house.gov
Lowey,Nita,Nita M. Lowey,7/5/1937,F,rep,NY,17,Democrat,https://lowey.house.gov
Lucas,Frank,Frank D. Lucas,1/6/1960,M,rep,OK,3,Republican,https://lucas.house.gov
Luetkemeyer,Blaine,Blaine Luetkemeyer,5/7/1952,M,rep,MO,3,Republican,https://luetkemeyer.house.gov
Luján,Ben,Ben Ray Luján,6/7/1972,M,rep,NM,3,Democrat,https://lujan.house.gov
Lynch,Stephen,Stephen F. Lynch,3/31/1955,M,rep,MA,8,Democrat,https://lynch.house.gov
Maloney,Carolyn,Carolyn B. Maloney,2/19/1946,F,rep,NY,12,Democrat,https://maloney.house.gov
Marchant,Kenny,Kenny Marchant,2/23/1951,M,rep,TX,24,Republican,https://marchant.house.gov
Markey,Edward,Edward J. Markey,7/11/1946,M,sen,MA,Democrat,https://www.markey.senate.gov
Matsui,Doris,Doris O. Matsui,9/25/1944,F,rep,CA,6,Democrat,https://matsui.house.gov
McCarthy,Kevin,Kevin McCarthy,1/26/1965,M,rep,CA,23,Republican,https://kevinmccarthy.house.gov
McCaul,Michael,Michael T. McCaul,1/14/1962,M,rep,TX,10,Republican,https://mccaul.house.gov
McClintock,Tom,Tom McClintock,7/10/1956,M,rep,CA,4,Republican,https://mcclintock.house.gov
McCollum,Betty,Betty McCollum,7/12/1954,F,rep,MN,4,Democrat,https://mccollum.house.gov
McGovern,James,James P. McGovern,11/20/1959,M,rep,MA,2,Democrat,https://mcgovern.house.gov
McHenry,Patrick,Patrick T. McHenry,10/22/1975,M,rep,NC,10,Republican,https://mchenry.house.gov
McKinley,David,David B. McKinley,3/28/1947,M,rep,WV,1,Republican,https://mckinley.house.gov
McMorris Rodgers,Cathy,Cathy McMorris Rodgers,5/22/1969,F,rep,WA,5,Republican,https://mcmorris.house.gov
McNerney,Jerry,Jerry McNerney,6/18/1951,M,rep,CA,9,Democrat,https://mcnerney.house.gov
Meeks,Gregory,Gregory W. Meeks,9/25/1953,M,rep,NY,5,Democrat,https://meeks.house.gov
Moore,Gwen,Gwen Moore,4/18/1951,F,rep,WI,4,Democrat,https://gwenmoore.house.gov
Moran,Jerry,Jerry Moran,5/29/1954,M,sen,KS,Republican,https://www.moran.senate.gov
Murkowski,Lisa,Lisa Murkowski,5/22/1957,F,sen,AK,Republican,https://www.murkowski.senate.gov
Murphy,Christopher,Christopher Murphy,8/3/1973,M,sen,CT,Democrat,https://www.murphy.senate.gov
Murray,Patty,Patty Murray,10/11/1950,F,sen,WA,Democrat,https://www.murray.senate.gov/public
Nadler,Jerrold,Jerrold Nadler,6/13/1947,M,rep,NY,10,Democrat,https://nadler.house.gov
Napolitano,Grace,Grace F. Napolitano,12/4/1936,F,rep,CA,32,Democrat,https://napolitano.house.gov
Neal,Richard,Richard E. Neal,2/14/1949,M,rep,MA,1,Democrat,https://neal.house.gov
Norton,Eleanor,Eleanor Holmes Norton,6/13/1937,F,rep,DC,0,Democrat,https://norton.house.gov
Nunes,Devin,Devin Nunes,10/1/1973,M,rep,CA,22,Republican,https://nunes.house.gov
Olson,Pete,Pete Olson,12/9/1962,M,rep,TX,22,Republican,https://olson.house.gov
Palazzo,Steven,Steven M. Palazzo,2/21/1970,M,rep,MS,4,Republican,https://palazzo.house.gov
Pallone,Frank,"Frank Pallone",10/30/1951,M,rep,NJ,6,Democrat,https://pallone.house.gov
Pascrell,Bill,"Bill Pascrell",1/25/1937,M,rep,NJ,9,Democrat,https://pascrell.house.gov
Paul,Rand,Rand Paul,1/7/1963,M,sen,KY,Republican,https://www.paul.senate.gov
Pelosi,Nancy,Nancy Pelosi,3/26/1940,F,rep,CA,12,Democrat,https://pelosi.house.gov
Perlmutter,Ed,Ed Perlmutter,5/1/1953,M,rep,CO,7,Democrat,https://perlmutter.house.gov
Peters,Gary,Gary C. Peters,12/1/1958,M,sen,MI,Democrat,https://www.peters.senate.gov
Peterson,Collin,Collin C. Peterson,6/29/1944,M,rep,MN,7,Democrat,https://collinpeterson.house.gov
Pingree,Chellie,Chellie Pingree,4/2/1955,F,rep,ME,1,Democrat,https://pingree.house.gov
Portman,Robert,Rob Portman,12/19/1955,M,sen,OH,Republican,https://www.portman.senate.gov
Posey,Bill,Bill Posey,12/18/1947,M,rep,FL,8,Republican,https://posey.house.gov
Price,David,David E. Price,8/17/1940,M,rep,NC,4,Democrat,https://price.house.gov
Quigley,Mike,Mike Quigley,10/17/1958,M,rep,IL,5,Democrat,https://quigley.house.gov
Reed,Tom,Tom Reed,11/18/1971,M,rep,NY,23,Republican,https://reed.house.gov
Richmond,Cedric,Cedric L. Richmond,9/13/1973,M,rep,LA,2,Democrat,https://richmond.house.gov
Roby,Martha,Martha Roby,7/27/1976,F,rep,AL,2,Republican,https://roby.house.gov
Roe,David,David P. Roe,7/21/1945,M,rep,TN,1,Republican,https://roe.house.gov
Rogers,Harold,Harold Rogers,12/31/1937,M,rep,KY,5,Republican,https://halrogers.house.gov
Rogers,Mike,Mike Rogers,7/16/1958,M,rep,AL,3,Republican,https://mikerogers.house.gov
Roybal-Allard,Lucille,Lucille Roybal-Allard,6/12/1941,F,rep,CA,40,Democrat,https://roybal-allard.house.gov
Rubio,Marco,Marco Rubio,5/28/1971,M,sen,FL,Republican,https://www.rubio.senate.gov
Ruppersberger,C.,C. A. Dutch Ruppersberger,1/31/1946,M,rep,MD,2,Democrat,https://ruppersberger.house.gov
Rush,Bobby,Bobby L. Rush,11/23/1946,M,rep,IL,1,Democrat,https://rush.house.gov
Ryan,Tim,Tim Ryan,7/16/1973,M,rep,OH,13,Democrat,https://timryan.house.gov
Sablan,Gregorio,Gregorio Kilili Camacho Sablan,1/19/1955,M,rep,MP,0,Democrat,https://sablan.house.gov
Sarbanes,John,John P. Sarbanes,5/22/1962,M,rep,MD,3,Democrat,https://sarbanes.house.gov
Scalise,Steve,Steve Scalise,10/6/1965,M,rep,LA,1,Republican,https://scalise.house.gov
Schakowsky,Janice,Janice D. Schakowsky,5/26/1944,F,rep,IL,9,Democrat,https://schakowsky.house.gov
Schiff,Adam,Adam B. Schiff,6/22/1960,M,rep,CA,28,Democrat,https://schiff.house.gov
Schrader,Kurt,Kurt Schrader,10/19/1951,M,rep,OR,5,Democrat,https://schrader.house.gov
Schumer,Charles,Charles E. Schumer,11/23/1950,M,sen,NY,Democrat,https://www.schumer.senate.gov
Schweikert,David,David Schweikert,3/3/1962,M,rep,AZ,6,Republican,https://schweikert.house.gov
Scott,Austin,Austin Scott,12/10/1969,M,rep,GA,8,Republican,https://austinscott.house.gov
Scott,David,David Scott,6/27/1945,M,rep,GA,13,Democrat,https://davidscott.house.gov
Scott,Robert,"Robert C. ""Bobby"" Scott",4/30/1947,M,rep,VA,3,Democrat,https://bobbyscott.house.gov
Scott,Tim,Tim Scott,9/19/1965,M,sen,SC,Republican,https://www.scott.senate.gov
Sensenbrenner,F.,F. James Sensenbrenner,6/14/1943,M,rep,WI,5,Republican,https://sensenbrenner.house.gov
Serrano,José,José E. Serrano,10/24/1943,M,rep,NY,15,Democrat,https://serrano.house.gov
Sewell,Terri,Terri A. Sewell,1/1/1965,F,rep,AL,7,Democrat,https://sewell.house.gov
Shelby,Richard,Richard C. Shelby,5/6/1934,M,sen,AL,Republican,https://www.shelby.senate.gov
Sherman,Brad,Brad Sherman,10/24/1954,M,rep,CA,30,Democrat,https://sherman.house.gov
Shimkus,John,John Shimkus,2/21/1958,M,rep,IL,15,Republican,https://shimkus.house.gov
Simpson,Michael,Michael K. Simpson,9/8/1950,M,rep,ID,2,Republican,https://simpson.house.gov
Sires,Albio,Albio Sires,1/26/1951,M,rep,NJ,8,Democrat,https://sires.house.gov
Smith,Adam,Adam Smith,6/15/1965,M,rep,WA,9,Democrat,https://adamsmith.house.gov
Smith,Adrian,Adrian Smith,12/19/1970,M,rep,NE,3,Republican,https://adriansmith.house.gov
Smith,Christopher,Christopher H. Smith,3/4/1953,M,rep,NJ,4,Republican,https://chrissmith.house.gov
Speier,Jackie,Jackie Speier,5/14/1950,F,rep,CA,14,Democrat,https://speier.house.gov
Stivers,Steve,Steve Stivers,3/24/1965,M,rep,OH,15,Republican,https://stivers.house.gov
Sánchez,Linda,Linda T. Sánchez,1/28/1969,F,rep,CA,38,Democrat,https://lindasanchez.house.gov
Thompson,Bennie,Bennie G. Thompson,1/28/1948,M,rep,MS,2,Democrat,https://benniethompson.house.gov
Thompson,Mike,Mike Thompson,1/24/1951,M,rep,CA,5,Democrat,https://mikethompson.house.gov
Thompson,Glenn,Glenn Thompson,7/27/1959,M,rep,PA,15,Republican,https://thompson.house.gov
Thornberry,Mac,Mac Thornberry,7/15/1958,M,rep,TX,13,Republican,https://thornberry.house.gov
Thune,John,John Thune,1/7/1961,M,sen,SD,Republican,https://www.thune.senate.gov
Tipton,Scott,Scott R. Tipton,11/9/1956,M,rep,CO,3,Republican,https://tipton.house.gov
Tonko,Paul,Paul Tonko,6/18/1949,M,rep,NY,20,Democrat,https://tonko.house.gov
Toomey,Patrick,Patrick J. Toomey,11/17/1961,M,sen,PA,Republican,https://www.toomey.senate.gov
Turner,Michael,Michael R. Turner,1/11/1960,M,rep,OH,10,Republican,https://turner.house.gov
Upton,Fred,Fred Upton,4/23/1953,M,rep,MI,6,Republican,https://upton.house.gov
Van Hollen,Chris,Chris Van Hollen,1/10/1959,M,sen,MD,Democrat,https://www.vanhollen.senate.gov
Velázquez,Nydia,Nydia M. Velázquez,3/28/1953,F,rep,NY,7,Democrat,https://velazquez.house.gov
Visclosky,Peter,Peter J. Visclosky,8/13/1949,M,rep,IN,1,Democrat,https://visclosky.house.gov
Walberg,Tim,Tim Walberg,4/12/1951,M,rep,MI,7,Republican,https://walberg.house.gov
Walden,Greg,Greg Walden,1/10/1957,M,rep,OR,2,Republican,https://walden.house.gov
Wasserman Schultz,Debbie,Debbie Wasserman Schultz,9/27/1966,F,rep,FL,23,Democrat,https://wassermanschultz.house.gov
Waters,Maxine,Maxine Waters,8/15/1938,F,rep,CA,43,Democrat,https://waters.house.gov
Webster,Daniel,Daniel Webster,4/27/1949,M,rep,FL,11,Republican,https://webster.house.gov
Welch,Peter,Peter Welch,5/2/1947,M,rep,VT,0,Democrat,https://welch.house.gov
Wilson,Joe,Joe Wilson,7/31/1947,M,rep,SC,2,Republican,https://joewilson.house.gov
Wilson,Frederica,Frederica S. Wilson,11/5/1942,F,rep,FL,24,Democrat,https://wilson.house.gov
Wittman,Robert,Robert J. Wittman,2/3/1959,M,rep,VA,1,Republican,https://wittman.house.gov
Womack,Steve,Steve Womack,2/18/1957,M,rep,AR,3,Republican,https://womack.house.gov
Woodall,Rob,Rob Woodall,2/11/1970,M,rep,GA,7,Republican,https://woodall.house.gov
Wyden,Ron,Ron Wyden,5/3/1949,M,sen,OR,Democrat,https://www.wyden.senate.gov
Yarmuth,John,John A. Yarmuth,11/4/1947,M,rep,KY,3,Democrat,https://yarmuth.house.gov
Young,Don,Don Young,6/9/1933,M,rep,AK,0,Republican,https://donyoung.house.gov
Young,Todd,Todd Young,8/24/1972,M,sen,IN,Republican,https://www.young.senate.gov
Amodei,Mark,Mark E. Amodei,6/12/1958,M,rep,NV,2,Republican,https://amodei.house.gov
Bonamici,Suzanne,Suzanne Bonamici,10/14/1954,F,rep,OR,1,Democrat,https://bonamici.house.gov
DelBene,Suzan,Suzan K. DelBene,2/17/1962,F,rep,WA,1,Democrat,https://delbene.house.gov
Massie,Thomas,Thomas Massie,1/13/1971,M,rep,KY,4,Republican,https://massie.house.gov
Payne,Donald,"Donald M. Payne",12/17/1958,M,rep,NJ,10,Democrat,https://payne.house.gov
Schatz,Brian,Brian Schatz,10/20/1972,M,sen,HI,Democrat,https://www.schatz.senate.gov
Foster,Bill,Bill Foster,10/7/1955,M,rep,IL,11,Democrat,https://foster.house.gov
Titus,Dina,Dina Titus,5/23/1950,F,rep,NV,1,Democrat,https://titus.house.gov
Cotton,Tom,Tom Cotton,5/13/1977,M,sen,AR,Republican,https://www.cotton.senate.gov
Sinema,Kyrsten,Kyrsten Sinema,7/12/1976,F,sen,AZ,Democrat,https://www.sinema.senate.gov
LaMalfa,Doug,Doug LaMalfa,7/2/1960,M,rep,CA,1,Republican,https://lamalfa.house.gov
Huffman,Jared,Jared Huffman,2/18/1964,M,rep,CA,2,Democrat,https://huffman.house.gov
Bera,Ami,Ami Bera,3/2/1965,M,rep,CA,7,Democrat,https://bera.house.gov
Swalwell,Eric,Eric Swalwell,11/16/1980,M,rep,CA,15,Democrat,https://swalwell.house.gov
Brownley,Julia,Julia Brownley,8/28/1952,F,rep,CA,26,Democrat,https://juliabrownley.house.gov
Cárdenas,Tony,Tony Cárdenas,3/31/1963,M,rep,CA,29,Democrat,https://cardenas.house.gov
Ruiz,Raul,Raul Ruiz,8/25/1972,M,rep,CA,36,Democrat,https://ruiz.house.gov
Takano,Mark,Mark Takano,12/10/1960,M,rep,CA,41,Democrat,https://takano.house.gov
Lowenthal,Alan,Alan S. Lowenthal,3/8/1941,M,rep,CA,47,Democrat,https://lowenthal.house.gov
